area,tool,url,repo_url,language,cas_hosted,description
Credibility and experience rating,mg-credibility,https://github.com/casact/mg-credibility,,R,yes,Credibility meets penalized regression (CAS Monograph 13).
Credibility and experience rating,hardhat,https://github.com/casact/hardhat,,Python,yes,Workers' comp retrospective and experience rating.
Credibility and experience rating,pres_higher_learning,https://github.com/casact/pres_higher_learning,,R,yes,"Webinar materials for ""Higher Learning: Hierarchical Linear Models""."
Increased limits and exposure rating,NetSimR,https://cran.r-project.org/package=NetSimR,,R,no,"Capped means, exposure curves, and ILF curves."
Increased limits and exposure rating,mbbefd,https://cran.r-project.org/package=mbbefd,,R,no,Exposure and destruction-rate curves for property.
Model comparison and lift,double_lift,https://github.com/casact/double_lift,,Python,yes,Double lift charts to compare two rating models.
Reinsurance and treaty,reinspy,https://github.com/casact/reinspy,,Python,yes,Python package for treaty structures.
Reinsurance and treaty,ReIns,https://cran.r-project.org/package=ReIns,,R,no,EVT and Erlang-EVT splicing for reinsurance layers.
Capital modeling,capital-modeling,https://github.com/casact/capital-modeling,,TeX,yes,Source for CAS Monograph 15 on capital modeling.
Catastrophe modeling,OasisLMF,https://github.com/OasisLMF/OasisLMF,,Python,no,End-to-end open toolkit for building and running cat models.
Catastrophe modeling,catastrophe-loss-prediction-with-NLP,https://github.com/casact/catastrophe-loss-prediction-with-NLP,,Other,yes,Catastrophe loss prediction with NLP.
Mortality and life contingencies,lifecontingencies,https://cran.r-project.org/package=lifecontingencies,,R,no,"Survival probabilities, annuities, and decrement tables."
Mortality and life contingencies,StMoMo,https://cran.r-project.org/package=StMoMo,,R,no,"Stochastic mortality models, including Lee-Carter and CBD."
Mortality and life contingencies,lifelib,https://lifelib.io/,,Python,no,"Open life models on modelx for pricing, valuation, ALM."
Mortality and life contingencies,MortalityTables.jl,https://juliaactuary.org/,,Julia,no,Standard mortality tables and life-contingency building blocks.
Economic scenarios and yield curves,ef-yield-curve-generators,https://github.com/casact/ef-yield-curve-generators,,Stan,yes,Yield curve generators in Stan for discounting and ALM.
Economic scenarios and yield curves,Yields.jl,https://juliaactuary.org/,,Julia,no,Yield-curve construction and rate math.
Machine learning and text,Anonymizing-Ratemaking-Datasets-using-GANs,https://github.com/casact/Anonymizing-Ratemaking-Datasets-using-GANs,,Other,yes,Anonymizing private P&C ratemaking datasets with GANs.
Machine learning and text,CAS-Project-Health-Insurance-Fraud-Detection,https://github.com/casact/CAS-Project-Health-Insurance-Fraud-Detection,,Other,yes,Machine learning plus business rule triggers for health insurance fraud detection.
Machine learning and text,linearscore,https://github.com/casact/linearscore,,R,yes,R code for linear classifier models for binary classification.
Data standards and datasets,PCDM,https://github.com/casact/PCDM,,Python,yes,"Property Casualty Data Model, a common P&C schema."
Data standards and datasets,CASdatasets,https://dutangc.github.io/CASdatasets/,,R,no,Large collection of actuarial datasets.
Data standards and datasets,raw,https://cran.r-project.org/package=raw,https://github.com/casact/raw_package,R,yes,"CAS workshop data, including Schedule P from many NAIC filers."
Data standards and datasets,covid_19_data,https://github.com/casact/covid_19_data,,Jupyter Notebook,yes,COVID-19 data collection and exploratory analysis for general insurance actuaries.
Applications and tools,risky-router,https://github.com/casact/risky-router,,Python,yes,"Code behind riskyrouter.com, joint winner of the 2022 CAS Hacktuary Challenge."
Applications and tools,consumer_vehicle_toolkit,https://github.com/casact/consumer_vehicle_toolkit,,HTML,yes,Consumer vehicle toolkit from the 2022 CAS Hacktuary Challenge.
Authoring and workflow,casdown,https://github.com/casact/casdown,,R,yes,RMarkdown formats for CAS publications.
Authoring and workflow,stan_stans,https://github.com/casact/stan_stans,,R,yes,Examples for and from the CAS Stan study group.
Learning and first contribution,pull_request_tutorial,https://github.com/casact/pull_request_tutorial,,Other,yes,Practice the mechanics of a first contribution.
Learning and first contribution,Loss Data Analytics,https://openacttexts.github.io/,,R,no,"Free text on severity, aggregate losses, and credibility."
Learning and first contribution,OSSCIntro,https://github.com/casact/OSSCIntro,,TeX,yes,Practice document for learning collaborative editing in a repository.
Indexes and task views,Actuarial Science task view,https://cran.r-project.org/view=ActuarialScience,,R,no,CRAN's curated index of R packages for actuarial work.
Indexes and task views,Distributions task view,https://cran.r-project.org/view=Distributions,,R,no,CRAN's index of probability distribution packages.
Indexes and task views,JuliaActuary,https://juliaactuary.org/,,Julia,no,Hub for the Julia actuarial packages and their documentation.
